               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11015,            0.049359,            0.027663,          0.00039286,            0.053551,          0.00022767,          4.2434e-05,             0.10574,            0.030426,            0.027292,               3e-05,               3e-05,             0.09973
                   1,             0.10896,            0.044318,            0.027672,          0.00045833,             0.11892,          0.00034365,          6.9111e-05,            0.097573,            0.026776,             0.02686,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.10511,            0.046803,            0.027383,          0.00048958,             0.12703,          0.00032374,          6.3523e-05,            0.094637,             0.02531,             0.02655,          0.00010999,          0.00010999,             0.09901
                   3,             0.10344,            0.046024,            0.026513,          0.00046875,             0.12162,          0.00034566,          7.0571e-05,            0.093951,            0.024478,            0.026354,          0.00014997,          0.00014997,             0.09865
                   4,              0.1021,            0.043532,            0.026097,          0.00046875,             0.12162,          0.00034546,          6.9007e-05,            0.094646,            0.024151,            0.026344,          0.00018993,          0.00018993,             0.09829
                   5,             0.10001,             0.04748,            0.025955,          0.00046875,             0.12162,          0.00034504,          7.0656e-05,            0.095373,            0.024089,            0.026358,          0.00022986,          0.00022986,             0.09793
                   6,             0.10165,            0.044176,            0.025689,          0.00045833,             0.11892,          0.00033307,          6.8342e-05,            0.095536,            0.024165,            0.026369,          0.00026976,          0.00026976,             0.09757
                   7,             0.10077,            0.047729,            0.025909,          0.00045833,             0.11892,          0.00031142,          6.6051e-05,            0.095478,            0.024346,            0.026241,          0.00030963,          0.00030963,             0.09721
                   8,             0.10027,             0.04518,            0.025205,          0.00046875,             0.12162,          0.00034546,           6.587e-05,            0.095237,            0.024478,             0.02624,          0.00034945,          0.00034945,            0.096849
                   9,            0.099601,            0.047911,            0.025679,          0.00044792,             0.11622,          0.00032806,          6.7909e-05,            0.094821,            0.024555,            0.026333,          0.00038922,          0.00038922,            0.096489
                  10,              0.1016,            0.044881,            0.025407,          0.00045833,             0.11892,          0.00033307,          6.7034e-05,            0.095436,            0.024498,            0.026358,          0.00042894,          0.00042894,            0.096129
                  11,             0.10057,            0.051621,            0.025259,          0.00044792,             0.11622,          0.00032334,           6.777e-05,            0.095606,            0.024502,            0.026291,           0.0004686,           0.0004686,            0.095769
                  12,                 0.1,            0.051785,            0.026108,          0.00045833,             0.11892,          0.00033402,          6.9964e-05,            0.094603,            0.024649,            0.026222,          0.00050819,          0.00050819,            0.095408
                  13,             0.10068,            0.048603,            0.025382,          0.00045833,             0.11892,          0.00033301,          6.9675e-05,            0.094926,            0.024638,            0.026307,          0.00054771,          0.00054771,            0.095048
                  14,            0.099801,            0.049883,            0.025388,          0.00045833,             0.11892,           0.0003437,          7.0912e-05,            0.094637,            0.024704,            0.026286,          0.00058715,          0.00058715,            0.094687
                  15,            0.098344,            0.048351,            0.025174,          0.00044792,             0.11622,          0.00032806,          6.8561e-05,            0.093819,            0.024759,            0.026275,          0.00062651,          0.00062651,            0.094327
                  16,            0.095531,             0.05043,            0.025435,          0.00045833,             0.11892,          0.00033307,          6.7819e-05,            0.092731,            0.024865,            0.026254,          0.00066578,          0.00066578,            0.093966
                  17,            0.096118,            0.052598,             0.02554,          0.00045833,             0.11892,           0.0004316,          8.6017e-05,            0.091439,            0.024931,            0.026209,          0.00070495,          0.00070495,            0.093605
                  18,            0.095643,            0.050164,            0.024852,          0.00040625,             0.10541,          0.00035958,            8.09e-05,            0.090329,            0.024873,             0.02622,          0.00074402,          0.00074402,            0.093244
                  19,            0.094523,            0.053679,            0.024798,          0.00038542,                 0.1,          0.00036341,          8.2229e-05,            0.089815,             0.02483,            0.026149,          0.00078299,          0.00078299,            0.092883
                  20,            0.093216,            0.053831,            0.024995,            0.000375,            0.097297,          0.00039297,          9.8198e-05,            0.089378,            0.024544,            0.026039,          0.00082184,          0.00082184,            0.092522
                  21,            0.090693,            0.054261,            0.024104,          0.00036458,            0.094595,            0.000314,          6.5156e-05,            0.089018,            0.024182,            0.025965,          0.00086057,          0.00086057,            0.092161
                  22,            0.089449,            0.054362,            0.024617,          0.00035417,            0.091892,          0.00023127,            5.88e-05,            0.088987,            0.023724,            0.025819,          0.00089918,          0.00089918,            0.091799
                  23,            0.088307,            0.051609,            0.024382,          0.00034375,            0.089189,          0.00020877,          5.5579e-05,            0.089164,            0.023186,            0.025578,          0.00093766,          0.00093766,            0.091438
                  24,            0.091276,            0.055306,            0.025107,          0.00037027,            0.091892,          0.00022657,          5.3603e-05,            0.089518,            0.022679,            0.025336,            0.000976,            0.000976,            0.091076
                  25,            0.087585,             0.04986,            0.023571,             0.50029,            0.059459,          0.00014855,          3.7776e-05,            0.091306,            0.021702,            0.025212,           0.0010142,           0.0010142,            0.090714
                  26,             0.08934,            0.049826,            0.023124,             0.50024,            0.048649,          0.00015913,          3.3543e-05,            0.092925,            0.020874,            0.025114,           0.0010523,           0.0010523,            0.090352
                  27,            0.087832,             0.05191,            0.022648,          0.00041943,            0.077577,          0.00030401,          6.0701e-05,            0.093947,            0.020412,            0.024965,           0.0010902,           0.0010902,             0.08999
                  28,            0.087611,            0.049091,            0.022401,              0.5038,            0.010811,          0.00051056,          8.2051e-05,            0.094993,            0.019948,            0.024754,           0.0011279,           0.0011279,            0.089628
                  29,            0.087024,            0.047967,            0.021588,           0.0017839,            0.032432,          0.00092006,          0.00017724,            0.096423,            0.019283,            0.024479,           0.0011655,           0.0011655,            0.089265
                  30,            0.087572,            0.050709,            0.021274,            0.014488,            0.013514,           0.0011323,          0.00030958,             0.09384,            0.019937,             0.02399,           0.0012029,           0.0012029,            0.088903
                  31,            0.085673,            0.049346,             0.01963,            0.033489,            0.016216,           0.0025026,          0.00050269,            0.096386,            0.019045,            0.023434,           0.0012401,           0.0012401,             0.08854
                  32,            0.089866,            0.048079,            0.019638,            0.014207,            0.032432,           0.0028867,          0.00054465,            0.087552,            0.021153,            0.022417,           0.0012772,           0.0012772,            0.088177
                  33,            0.086155,            0.047883,            0.019658,            0.024149,            0.045144,           0.0035841,          0.00084176,            0.089644,            0.020539,            0.021335,           0.0013141,           0.0013141,            0.087814
                  34,            0.087741,            0.048084,            0.017389,            0.068689,              0.1033,             0.01517,           0.0029173,            0.085229,            0.021111,            0.020033,           0.0013508,           0.0013508,            0.087451
                  35,            0.086085,            0.045294,            0.018007,            0.094901,            0.092488,           0.0079859,           0.0016703,            0.086876,            0.021842,            0.020004,           0.0013873,           0.0013873,            0.087087
                  36,            0.085497,            0.043564,            0.016445,            0.040316,             0.18747,            0.021125,            0.005319,            0.084321,            0.024162,            0.019016,           0.0014235,           0.0014235,            0.086724
                  37,            0.086599,            0.044592,            0.015439,             0.04817,             0.17834,            0.029322,           0.0062271,            0.077547,            0.021589,            0.015899,           0.0014596,           0.0014596,             0.08636
                  38,            0.086275,            0.044782,            0.016074,             0.15013,              0.1896,            0.057565,            0.013551,            0.077043,            0.021167,            0.015172,           0.0014955,           0.0014955,            0.085995
                  39,            0.088861,            0.041613,            0.014664,            0.099275,              0.2342,            0.075347,            0.018378,            0.067912,            0.022427,              0.0174,           0.0015312,           0.0015312,            0.085631
                  40,            0.083585,            0.041395,            0.014232,             0.22178,             0.19336,              0.1139,            0.028013,            0.065863,            0.022329,            0.013672,           0.0015666,           0.0015666,            0.085267
                  41,            0.085669,            0.038707,            0.013497,             0.19905,             0.22909,             0.11598,            0.030533,            0.070324,            0.026675,             0.01111,           0.0016018,           0.0016018,            0.084902
                  42,            0.083959,            0.038299,            0.013229,              0.1638,             0.23239,             0.10943,            0.023956,            0.070725,            0.022484,           0.0093384,           0.0016368,           0.0016368,            0.084537
                  43,            0.087066,            0.039158,            0.011036,             0.12829,            0.073065,            0.039501,            0.011059,            0.081865,            0.023772,            0.010702,           0.0016715,           0.0016715,            0.084172
